[
[,"bb","Address","Princ_L#","Principal File","Init_L#","Initial File","Disassembly", "unhalted_core_cycles", "uops_retired:stall_cycles", "instruction_retired", "uops_retired:any", "load_latency", "mem_uncore_retired:local_dram_and_remote_cache_hit", "mem_uncore_retired:remote_dram", "mem_load_retired:llc_unshared_hit", "dtlb_latency", "dtlb_load_misses:stlb_hit", "dtlb_load_misses:walk_completed", "dtlb_load_misses:walk_cycles", "mem_uncore_retired:other_llc_miss", "mem_uncore_retired:remote_hitm", "mem_uncore_retired:local_hitm", "mem_load_retired:other_core_l2_hit_hitm", "mem_load_retired:l2_hit", "mem_load_retired:hit_lfb", "mem_load_retired:l1d_hit", "load_hit_pre", "instruction_starvation", "l2_rqsts:ifetch_miss", "l2_rqsts:ifetch_hit", "itlb_latency", "itlb_misses:0x10", "itlb_misses:walk_completed", "itlb_misses:walk_cycles", "offcore_requests_outstanding:demand_read_code:c=1", "uops_issued:stall_cycles", "resource_stalls:any", "bandwidth_saturated", "offcore_requests_outstanding:any_read:c=6", "offcore_requests_outstanding:demand_rfo:c=4", "branch_misprediction", "br_misp_retired:all_branches", "baclear:clear", "Wrong_path_cycles", "uops_issued:any", "uops_retired:retire_slots", "uops_issued:any:c=1", "store_resources_saturated", "resource_stalls:store", "offcore_requests_outstanding:demand_rfo:c=1", "instruction_latency", "arith:cycles_div_busy", "arith:div", "exception_handling", "uops_decoded:ms_cycles_active", "port_saturation", "uops_executed:port0", "uops_executed:port1", "uops_executed:port2_core", "uops_executed:port3_core", "uops_executed:port4_core", "uops_executed:port5",],
[,2,"0x4c6356",401,"c-parser.c",,"","mov    -0x8(%rbp),%rax ",  6, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0,],
[,2,"0x4c635a",401,"c-parser.c",,"","mov    %rdx,%rsi ",  0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
[,2,"0x4c635d",401,"c-parser.c",,"","mov    %rax,%rdi ",  2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0,],
[,2,"0x4c6360",401,"c-parser.c",,"","callq  4c5f6f  ",  1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0,],
[,3,"0x4c6365",402,,,, " Basic Block 3 <0x4c636f>", 18, 16, 10, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 1, 11, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 7, 5, 3,],
[,3,"0x4c6365",402,"c-parser.c",,"","mov    -0x8(%rbp),%rax ",  10, 8, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 7, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 6, 2, 2,],
[,3,"0x4c6369",402,"c-parser.c",,"","movw   $0x1,0x20(%rax) ",  8, 8, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 1, 3, 1,],
[,4,"0x4c636f",404,,,, " Basic Block 4 <0xdeadbeef001>", 75, 36, 75, 85, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 32, 13, 26, 1, 0, 0, 1, 0, 34, 3, 0, 0, 0, 9, 1, 6, 4, 61, 46, 33, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 13, 27, 35, 36, 14,],
[,4,"0x4c636f",404,"c-parser.c",,"","mov    -0x8(%rbp),%rax ",  39, 19, 39, 47, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 17, 9, 13, 1, 0, 0, 1, 0, 16, 2, 0, 0, 0, 7, 1, 2, 2, 35, 27, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 12, 17, 18, 10,],
[,4,"0x4c6373",405,"c-parser.c",,"","leaveq  ",  2, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 1,],
[,4,"0x4c6374",405,"c-parser.c",,"","retq    ",  34, 14, 36, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 12, 3, 13, 0, 0, 0, 0, 0, 14, 1, 0, 0, 0, 2, 0, 4, 2, 25, 16, 11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 6, 11, 15, 15, 3,],
[,5,,,,,, "c_parser_peek_token", 349, 211, 311, 376, 7, 1, 0, 0, 5, 5, 0, 3, 0, 0, 0, 0, 2, 0, 83, 0, 139, 72, 103, 2, 0, 0, 2, 10, 183, 15, 1, 1, 0, 30, 1, 37, 45, 393, 260, 154, 5, 3, 2, 0, 0, 0, 1, 1, 0, 41, 66, 115, 141, 171, 68,],
]
